Area,year,age_class,year_class,mean,q5,q95,Lat_degrees,Long_degrees
Norrbyn,2013,1,2012,0.25,0.2,0.31,63.53367,19.83417
Norrbyn,2013,2,2011,0.5,0.43,0.58,63.53367,19.83417
Norrbyn,2013,3,2010,0.21,0.16,0.27,63.53367,19.83417
Norrbyn,2013,4,2009,0.03,0.01,0.05,63.53367,19.83417
Norrbyn,2013,plusgroup,2008,0,0,0.01,63.53367,19.83417
Norrbyn,2014,1,2013,0.47,0.37,0.58,63.53367,19.83417
Norrbyn,2014,2,2012,0.19,0.14,0.25,63.53367,19.83417
Norrbyn,2014,3,2011,0.31,0.23,0.39,63.53367,19.83417
Norrbyn,2014,4,2010,0.02,0.01,0.04,63.53367,19.83417
Norrbyn,2014,plusgroup,2009,0,0,0.01,63.53367,19.83417
Norrbyn,2015,1,2014,0.42,0.28,0.57,63.53367,19.83417
Norrbyn,2015,2,2013,0.4,0.23,0.58,63.53367,19.83417
Norrbyn,2015,3,2012,0.11,0.06,0.17,63.53367,19.83417
Norrbyn,2015,4,2011,0.06,0.03,0.1,63.53367,19.83417
Norrbyn,2015,plusgroup,2010,0.01,0,0.01,63.53367,19.83417
Norrbyn,2016,1,2015,0.28,0.21,0.36,63.53367,19.83417
Norrbyn,2016,2,2014,0.57,0.48,0.66,63.53367,19.83417
Norrbyn,2016,3,2013,0.1,0.05,0.17,63.53367,19.83417
Norrbyn,2016,4,2012,0.03,0.01,0.05,63.53367,19.83417
Norrbyn,2016,plusgroup,2011,0.01,0,0.03,63.53367,19.83417
Norrbyn,2017,1,2016,0.55,0.46,0.63,63.53367,19.83417
Norrbyn,2017,2,2015,0.21,0.16,0.28,63.53367,19.83417
Norrbyn,2017,3,2014,0.21,0.14,0.29,63.53367,19.83417
Norrbyn,2017,4,2013,0.02,0.01,0.03,63.53367,19.83417
Norrbyn,2017,plusgroup,2012,0.01,0,0.02,63.53367,19.83417
Norrbyn,2018,1,2017,0.08,0.05,0.13,63.53367,19.83417
Norrbyn,2018,2,2016,0.68,0.6,0.76,63.53367,19.83417
Norrbyn,2018,3,2015,0.16,0.1,0.22,63.53367,19.83417
Norrbyn,2018,4,2014,0.06,0.03,0.1,63.53367,19.83417
Norrbyn,2018,plusgroup,2013,0.01,0,0.03,63.53367,19.83417
Norrbyn,2019,1,2018,0.63,0.41,0.88,63.53367,19.83417
Norrbyn,2019,2,2017,0.06,0.02,0.11,63.53367,19.83417
Norrbyn,2019,3,2016,0.27,0.04,0.49,63.53367,19.83417
Norrbyn,2019,4,2015,0.02,0,0.05,63.53367,19.83417
Norrbyn,2019,plusgroup,2014,0.01,0,0.03,63.53367,19.83417
Norrbyn,2020,1,2019,0.31,0.16,0.45,63.53367,19.83417
Norrbyn,2020,2,2018,0.59,0.42,0.79,63.53367,19.83417
Norrbyn,2020,3,2017,0.04,0.01,0.08,63.53367,19.83417
Norrbyn,2020,4,2016,0.05,0,0.14,63.53367,19.83417
Norrbyn,2020,plusgroup,2015,0.01,0,0.02,63.53367,19.83417
Norrbyn,2021,1,2020,0.07,0.03,0.12,63.53367,19.83417
Norrbyn,2021,2,2019,0.39,0.27,0.51,63.53367,19.83417
Norrbyn,2021,3,2018,0.53,0.4,0.65,63.53367,19.83417
Norrbyn,2021,4,2017,0.01,0,0.02,63.53367,19.83417
Norrbyn,2021,plusgroup,2016,0.01,0,0.02,63.53367,19.83417
Norrbyn,2022,1,2021,0.66,0.39,0.9,63.53367,19.83417
Norrbyn,2022,2,2020,0.05,0.01,0.09,63.53367,19.83417
Norrbyn,2022,3,2019,0.2,0.04,0.36,63.53367,19.83417
Norrbyn,2022,4,2018,0.1,0.01,0.26,63.53367,19.83417
Norrbyn,2022,plusgroup,2017,0,0,0.01,63.53367,19.83417
Norrbyn,2023,1,2022,0.41,0.2,0.6,63.53367,19.83417
Norrbyn,2023,2,2021,0.5,0.26,0.77,63.53367,19.83417
Norrbyn,2023,3,2020,0.03,0.01,0.06,63.53367,19.83417
Norrbyn,2023,4,2019,0.05,0,0.13,63.53367,19.83417
Norrbyn,2023,plusgroup,2018,0.01,0,0.04,63.53367,19.83417
Norrbyn,2024,1,2023,0.43,0.26,0.57,63.53367,19.83417
Norrbyn,2024,2,2022,0.27,0.15,0.41,63.53367,19.83417
Norrbyn,2024,3,2021,0.29,0.13,0.53,63.53367,19.83417
Norrbyn,2024,4,2020,0.01,0,0.02,63.53367,19.83417
Norrbyn,2024,plusgroup,2019,0.01,0,0.02,63.53367,19.83417
Norrbyn,2025,1,2024,0.64,0.56,0.72,63.53367,19.83417
Norrbyn,2025,2,2023,0.21,0.15,0.27,63.53367,19.83417
Norrbyn,2025,3,2022,0.11,0.07,0.15,63.53367,19.83417
Norrbyn,2025,4,2021,0.05,0.03,0.07,63.53367,19.83417
Norrbyn,2025,plusgroup,2020,0,0,0,63.53367,19.83417
Gaviksfjärden,2007,2,2005,0.52,0.44,0.6,62.86333,18.27583
Gaviksfjärden,2007,3,2004,0.21,0.15,0.27,62.86333,18.27583
Gaviksfjärden,2007,4,2003,0.09,0.06,0.14,62.86333,18.27583
Gaviksfjärden,2007,plusgroup,2002,0.18,0.13,0.24,62.86333,18.27583
Gaviksfjärden,2008,2,2006,0.07,0.04,0.11,62.86333,18.27583
Gaviksfjärden,2008,3,2005,0.67,0.58,0.75,62.86333,18.27583
Gaviksfjärden,2008,4,2004,0.16,0.1,0.23,62.86333,18.27583
Gaviksfjärden,2008,plusgroup,2003,0.1,0.06,0.14,62.86333,18.27583
Gaviksfjärden,2009,2,2007,0.84,0.79,0.88,62.86333,18.27583
Gaviksfjärden,2009,3,2006,0.03,0.02,0.04,62.86333,18.27583
Gaviksfjärden,2009,4,2005,0.11,0.07,0.16,62.86333,18.27583
Gaviksfjärden,2009,plusgroup,2004,0.02,0.01,0.04,62.86333,18.27583
Gaviksfjärden,2010,2,2008,0.05,0.03,0.07,62.86333,18.27583
Gaviksfjärden,2010,3,2007,0.89,0.86,0.92,62.86333,18.27583
Gaviksfjärden,2010,4,2006,0.02,0.01,0.03,62.86333,18.27583
Gaviksfjärden,2010,plusgroup,2005,0.04,0.02,0.05,62.86333,18.27583
Gaviksfjärden,2011,2,2009,0.27,0.22,0.33,62.86333,18.27583
Gaviksfjärden,2011,3,2008,0.04,0.03,0.06,62.86333,18.27583
Gaviksfjärden,2011,4,2007,0.67,0.61,0.73,62.86333,18.27583
Gaviksfjärden,2011,plusgroup,2006,0.01,0.01,0.02,62.86333,18.27583
Gaviksfjärden,2012,2,2010,0.48,0.41,0.56,62.86333,18.27583
Gaviksfjärden,2012,3,2009,0.29,0.22,0.35,62.86333,18.27583
Gaviksfjärden,2012,4,2008,0.04,0.02,0.05,62.86333,18.27583
Gaviksfjärden,2012,plusgroup,2007,0.19,0.15,0.24,62.86333,18.27583
Gaviksfjärden,2013,2,2011,0.72,0.66,0.78,62.86333,18.27583
Gaviksfjärden,2013,3,2010,0.19,0.14,0.25,62.86333,18.27583
Gaviksfjärden,2013,4,2009,0.07,0.04,0.09,62.86333,18.27583
Gaviksfjärden,2013,plusgroup,2008,0.02,0.02,0.03,62.86333,18.27583
Gaviksfjärden,2014,2,2012,0.47,0.41,0.54,62.86333,18.27583
Gaviksfjärden,2014,3,2011,0.47,0.4,0.53,62.86333,18.27583
Gaviksfjärden,2014,4,2010,0.05,0.03,0.07,62.86333,18.27583
Gaviksfjärden,2014,plusgroup,2009,0.01,0.01,0.02,62.86333,18.27583
Gaviksfjärden,2015,2,2013,0.05,0.04,0.07,62.86333,18.27583
Gaviksfjärden,2015,3,2012,0.75,0.69,0.8,62.86333,18.27583
Gaviksfjärden,2015,4,2011,0.18,0.13,0.23,62.86333,18.27583
Gaviksfjärden,2015,plusgroup,2010,0.02,0.01,0.03,62.86333,18.27583
Gaviksfjärden,2016,2,2014,0.17,0.13,0.22,62.86333,18.27583
Gaviksfjärden,2016,3,2013,0.07,0.05,0.1,62.86333,18.27583
Gaviksfjärden,2016,4,2012,0.7,0.63,0.76,62.86333,18.27583
Gaviksfjärden,2016,plusgroup,2011,0.06,0.04,0.08,62.86333,18.27583
Gaviksfjärden,2017,2,2015,0.69,0.64,0.74,62.86333,18.27583
Gaviksfjärden,2017,3,2014,0.13,0.1,0.16,62.86333,18.27583
Gaviksfjärden,2017,4,2013,0.04,0.03,0.06,62.86333,18.27583
Gaviksfjärden,2017,plusgroup,2012,0.13,0.1,0.17,62.86333,18.27583
Gaviksfjärden,2018,2,2016,0.11,0.08,0.14,62.86333,18.27583
Gaviksfjärden,2018,3,2015,0.74,0.69,0.79,62.86333,18.27583
Gaviksfjärden,2018,4,2014,0.11,0.08,0.14,62.86333,18.27583
Gaviksfjärden,2018,plusgroup,2013,0.05,0.03,0.06,62.86333,18.27583
Gaviksfjärden,2019,2,2017,0.15,0.11,0.19,62.86333,18.27583
Gaviksfjärden,2019,3,2016,0.15,0.11,0.19,62.86333,18.27583
Gaviksfjärden,2019,4,2015,0.66,0.59,0.72,62.86333,18.27583
Gaviksfjärden,2019,plusgroup,2014,0.05,0.03,0.06,62.86333,18.27583
Gaviksfjärden,2020,2,2018,0.75,0.69,0.8,62.86333,18.27583
Gaviksfjärden,2020,3,2017,0.11,0.08,0.15,62.86333,18.27583
Gaviksfjärden,2020,4,2016,0.04,0.02,0.07,62.86333,18.27583
Gaviksfjärden,2020,plusgroup,2015,0.1,0.07,0.14,62.86333,18.27583
Gaviksfjärden,2021,2,2019,0.12,0.07,0.18,62.86333,18.27583
Gaviksfjärden,2021,3,2018,0.82,0.75,0.87,62.86333,18.27583
Gaviksfjärden,2021,4,2017,0.04,0.01,0.07,62.86333,18.27583
Gaviksfjärden,2021,plusgroup,2016,0.03,0.02,0.05,62.86333,18.27583
Gaviksfjärden,2022,2,2020,0.39,0.16,0.73,62.86333,18.27583
Gaviksfjärden,2022,3,2019,0.15,0.06,0.28,62.86333,18.27583
Gaviksfjärden,2022,4,2018,0.44,0.11,0.71,62.86333,18.27583
Gaviksfjärden,2022,plusgroup,2017,0.02,0.01,0.04,62.86333,18.27583
Gaviksfjärden,2023,2,2021,0.66,0.44,0.79,62.86333,18.27583
Gaviksfjärden,2023,3,2020,0.23,0.1,0.5,62.86333,18.27583
Gaviksfjärden,2023,4,2019,0.05,0.01,0.1,62.86333,18.27583
Gaviksfjärden,2023,plusgroup,2018,0.06,0.02,0.11,62.86333,18.27583
Gaviksfjärden,2024,2,2022,0.5,0.41,0.59,62.86333,18.27583
Gaviksfjärden,2024,3,2021,0.42,0.33,0.51,62.86333,18.27583
Gaviksfjärden,2024,4,2020,0.07,0.04,0.1,62.86333,18.27583
Gaviksfjärden,2024,plusgroup,2019,0.01,0.01,0.03,62.86333,18.27583
Långvindsfjärden,2002,2,2000,0.12,0.09,0.15,61.45617,17.16567
Långvindsfjärden,2002,3,1999,0.18,0.14,0.22,61.45617,17.16567
Långvindsfjärden,2002,4,1998,0.08,0.06,0.11,61.45617,17.16567
Långvindsfjärden,2002,5,1997,0.43,0.37,0.49,61.45617,17.16567
Långvindsfjärden,2002,6,1996,0.06,0.04,0.08,61.45617,17.16567
Långvindsfjärden,2002,plusgroup,1995,0.14,0.11,0.17,61.45617,17.16567
Långvindsfjärden,2003,2,2001,0.39,0.33,0.45,61.45617,17.16567
Långvindsfjärden,2003,3,2000,0.08,0.06,0.1,61.45617,17.16567
Långvindsfjärden,2003,4,1999,0.11,0.08,0.14,61.45617,17.16567
Långvindsfjärden,2003,5,1998,0.06,0.04,0.08,61.45617,17.16567
Långvindsfjärden,2003,6,1997,0.24,0.19,0.29,61.45617,17.16567
Långvindsfjärden,2003,plusgroup,1996,0.13,0.1,0.16,61.45617,17.16567
Långvindsfjärden,2004,2,2002,0.56,0.52,0.61,61.45617,17.16567
Långvindsfjärden,2004,3,2001,0.19,0.16,0.23,61.45617,17.16567
Långvindsfjärden,2004,4,2000,0.04,0.03,0.06,61.45617,17.16567
Långvindsfjärden,2004,5,1999,0.04,0.03,0.05,61.45617,17.16567
Långvindsfjärden,2004,6,1998,0.02,0.01,0.03,61.45617,17.16567
Långvindsfjärden,2004,plusgroup,1997,0.14,0.11,0.16,61.45617,17.16567
Långvindsfjärden,2005,2,2003,0.2,0.17,0.24,61.45617,17.16567
Långvindsfjärden,2005,3,2002,0.49,0.45,0.53,61.45617,17.16567
Långvindsfjärden,2005,4,2001,0.17,0.14,0.2,61.45617,17.16567
Långvindsfjärden,2005,5,2000,0.03,0.02,0.03,61.45617,17.16567
Långvindsfjärden,2005,6,1999,0.03,0.02,0.03,61.45617,17.16567
Långvindsfjärden,2005,plusgroup,1998,0.09,0.07,0.11,61.45617,17.16567
Långvindsfjärden,2006,2,2004,0.31,0.26,0.36,61.45617,17.16567
Långvindsfjärden,2006,3,2003,0.15,0.12,0.18,61.45617,17.16567
Långvindsfjärden,2006,4,2002,0.4,0.35,0.44,61.45617,17.16567
Långvindsfjärden,2006,5,2001,0.09,0.07,0.11,61.45617,17.16567
Långvindsfjärden,2006,6,2000,0.01,0.01,0.02,61.45617,17.16567
Långvindsfjärden,2006,plusgroup,1999,0.05,0.04,0.06,61.45617,17.16567
Långvindsfjärden,2007,2,2005,0.31,0.27,0.35,61.45617,17.16567
Långvindsfjärden,2007,3,2004,0.14,0.11,0.16,61.45617,17.16567
Långvindsfjärden,2007,4,2003,0.1,0.08,0.12,61.45617,17.16567
Långvindsfjärden,2007,5,2002,0.35,0.3,0.39,61.45617,17.16567
Långvindsfjärden,2007,6,2001,0.07,0.06,0.09,61.45617,17.16567
Långvindsfjärden,2007,plusgroup,2000,0.04,0.03,0.05,61.45617,17.16567
Långvindsfjärden,2008,2,2006,0.35,0.31,0.4,61.45617,17.16567
Långvindsfjärden,2008,3,2005,0.23,0.2,0.26,61.45617,17.16567
Långvindsfjärden,2008,4,2004,0.11,0.09,0.13,61.45617,17.16567
Långvindsfjärden,2008,5,2003,0.06,0.04,0.07,61.45617,17.16567
Långvindsfjärden,2008,6,2002,0.21,0.17,0.24,61.45617,17.16567
Långvindsfjärden,2008,plusgroup,2001,0.05,0.04,0.07,61.45617,17.16567
Långvindsfjärden,2009,2,2007,0.39,0.34,0.44,61.45617,17.16567
Långvindsfjärden,2009,3,2006,0.24,0.21,0.28,61.45617,17.16567
Långvindsfjärden,2009,4,2005,0.16,0.14,0.19,61.45617,17.16567
Långvindsfjärden,2009,5,2004,0.06,0.05,0.07,61.45617,17.16567
Långvindsfjärden,2009,6,2003,0.03,0.02,0.04,61.45617,17.16567
Långvindsfjärden,2009,plusgroup,2002,0.12,0.1,0.14,61.45617,17.16567
Långvindsfjärden,2010,2,2008,0.2,0.17,0.23,61.45617,17.16567
Långvindsfjärden,2010,3,2007,0.37,0.33,0.41,61.45617,17.16567
Långvindsfjärden,2010,4,2006,0.18,0.15,0.22,61.45617,17.16567
Långvindsfjärden,2010,5,2005,0.13,0.11,0.15,61.45617,17.16567
Långvindsfjärden,2010,6,2004,0.04,0.03,0.05,61.45617,17.16567
Långvindsfjärden,2010,plusgroup,2003,0.08,0.06,0.1,61.45617,17.16567
Långvindsfjärden,2011,2,2009,0.34,0.29,0.4,61.45617,17.16567
Långvindsfjärden,2011,3,2008,0.16,0.13,0.19,61.45617,17.16567
Långvindsfjärden,2011,4,2007,0.3,0.26,0.34,61.45617,17.16567
Långvindsfjärden,2011,5,2006,0.1,0.08,0.12,61.45617,17.16567
Långvindsfjärden,2011,6,2005,0.06,0.05,0.08,61.45617,17.16567
Långvindsfjärden,2011,plusgroup,2004,0.04,0.03,0.06,61.45617,17.16567
Långvindsfjärden,2012,2,2010,0.29,0.24,0.34,61.45617,17.16567
Långvindsfjärden,2012,3,2009,0.24,0.18,0.29,61.45617,17.16567
Långvindsfjärden,2012,4,2008,0.15,0.12,0.19,61.45617,17.16567
Långvindsfjärden,2012,5,2007,0.21,0.18,0.25,61.45617,17.16567
Långvindsfjärden,2012,6,2006,0.06,0.04,0.07,61.45617,17.16567
Långvindsfjärden,2012,plusgroup,2005,0.05,0.04,0.07,61.45617,17.16567
Långvindsfjärden,2013,2,2011,0.62,0.57,0.67,61.45617,17.16567
Långvindsfjärden,2013,3,2010,0.14,0.11,0.18,61.45617,17.16567
Långvindsfjärden,2013,4,2009,0.1,0.08,0.12,61.45617,17.16567
Långvindsfjärden,2013,5,2008,0.05,0.04,0.06,61.45617,17.16567
Långvindsfjärden,2013,6,2007,0.07,0.05,0.08,61.45617,17.16567
Långvindsfjärden,2013,plusgroup,2006,0.03,0.02,0.04,61.45617,17.16567
Långvindsfjärden,2014,2,2012,0.16,0.14,0.19,61.45617,17.16567
Långvindsfjärden,2014,3,2011,0.61,0.57,0.65,61.45617,17.16567
Långvindsfjärden,2014,4,2010,0.09,0.07,0.12,61.45617,17.16567
Långvindsfjärden,2014,5,2009,0.06,0.04,0.07,61.45617,17.16567
Långvindsfjärden,2014,6,2008,0.03,0.02,0.04,61.45617,17.16567
Långvindsfjärden,2014,plusgroup,2007,0.05,0.04,0.06,61.45617,17.16567
Långvindsfjärden,2015,2,2013,0.15,0.13,0.18,61.45617,17.16567
Långvindsfjärden,2015,3,2012,0.16,0.14,0.19,61.45617,17.16567
Långvindsfjärden,2015,4,2011,0.58,0.53,0.62,61.45617,17.16567
Långvindsfjärden,2015,5,2010,0.05,0.04,0.06,61.45617,17.16567
Långvindsfjärden,2015,6,2009,0.03,0.02,0.04,61.45617,17.16567
Långvindsfjärden,2015,plusgroup,2008,0.03,0.02,0.04,61.45617,17.16567
Långvindsfjärden,2016,2,2014,0.38,0.33,0.42,61.45617,17.16567
Långvindsfjärden,2016,3,2013,0.14,0.11,0.16,61.45617,17.16567
Långvindsfjärden,2016,4,2012,0.14,0.11,0.16,61.45617,17.16567
Långvindsfjärden,2016,5,2011,0.3,0.26,0.34,61.45617,17.16567
Långvindsfjärden,2016,6,2010,0.02,0.02,0.03,61.45617,17.16567
Långvindsfjärden,2016,plusgroup,2009,0.02,0.02,0.03,61.45617,17.16567
Långvindsfjärden,2017,2,2015,0.33,0.29,0.37,61.45617,17.16567
Långvindsfjärden,2017,3,2014,0.32,0.28,0.36,61.45617,17.16567
Långvindsfjärden,2017,4,2013,0.11,0.09,0.13,61.45617,17.16567
Långvindsfjärden,2017,5,2012,0.07,0.06,0.09,61.45617,17.16567
Långvindsfjärden,2017,6,2011,0.15,0.12,0.17,61.45617,17.16567
Långvindsfjärden,2017,plusgroup,2010,0.02,0.01,0.03,61.45617,17.16567
Långvindsfjärden,2018,2,2016,0.33,0.27,0.38,61.45617,17.16567
Långvindsfjärden,2018,3,2015,0.27,0.23,0.31,61.45617,17.16567
Långvindsfjärden,2018,4,2014,0.26,0.22,0.29,61.45617,17.16567
Långvindsfjärden,2018,5,2013,0.06,0.05,0.07,61.45617,17.16567
Långvindsfjärden,2018,6,2012,0.03,0.03,0.04,61.45617,17.16567
Långvindsfjärden,2018,plusgroup,2011,0.06,0.04,0.07,61.45617,17.16567
Långvindsfjärden,2019,2,2017,0.33,0.28,0.38,61.45617,17.16567
Långvindsfjärden,2019,3,2016,0.25,0.21,0.3,61.45617,17.16567
Långvindsfjärden,2019,4,2015,0.19,0.16,0.23,61.45617,17.16567
Långvindsfjärden,2019,5,2014,0.17,0.14,0.21,61.45617,17.16567
Långvindsfjärden,2019,6,2013,0.02,0.01,0.04,61.45617,17.16567
Långvindsfjärden,2019,plusgroup,2012,0.03,0.02,0.04,61.45617,17.16567
Långvindsfjärden,2020,2,2018,0.64,0.59,0.68,61.45617,17.16567
Långvindsfjärden,2020,3,2017,0.16,0.13,0.18,61.45617,17.16567
Långvindsfjärden,2020,4,2016,0.11,0.09,0.13,61.45617,17.16567
Långvindsfjärden,2020,5,2015,0.05,0.04,0.07,61.45617,17.16567
Långvindsfjärden,2020,6,2014,0.04,0.03,0.05,61.45617,17.16567
Långvindsfjärden,2020,plusgroup,2013,0.01,0,0.01,61.45617,17.16567
Långvindsfjärden,2021,2,2019,0.36,0.3,0.43,61.45617,17.16567
Långvindsfjärden,2021,3,2018,0.49,0.42,0.55,61.45617,17.16567
Långvindsfjärden,2021,4,2017,0.07,0.05,0.1,61.45617,17.16567
Långvindsfjärden,2021,5,2016,0.05,0.03,0.06,61.45617,17.16567
Långvindsfjärden,2021,6,2015,0.02,0.01,0.03,61.45617,17.16567
Långvindsfjärden,2021,plusgroup,2014,0.01,0.01,0.02,61.45617,17.16567
Långvindsfjärden,2022,2,2020,0.43,0.29,0.57,61.45617,17.16567
Långvindsfjärden,2022,3,2019,0.45,0.3,0.59,61.45617,17.16567
Långvindsfjärden,2022,4,2018,0.01,0,0.02,61.45617,17.16567
Långvindsfjärden,2022,5,2017,0.06,0.03,0.1,61.45617,17.16567
Långvindsfjärden,2022,6,2016,0.03,0.01,0.05,61.45617,17.16567
Långvindsfjärden,2022,plusgroup,2015,0.02,0.01,0.04,61.45617,17.16567
Långvindsfjärden,2023,2,2021,0.45,0.35,0.55,61.45617,17.16567
Långvindsfjärden,2023,3,2020,0.28,0.21,0.4,61.45617,17.16567
Långvindsfjärden,2023,4,2019,0.21,0.14,0.3,61.45617,17.16567
Långvindsfjärden,2023,5,2018,0,0,0.01,61.45617,17.16567
Långvindsfjärden,2023,6,2017,0.02,0.01,0.04,61.45617,17.16567
Långvindsfjärden,2023,plusgroup,2016,0.02,0.01,0.03,61.45617,17.16567
Långvindsfjärden,2024,2,2022,0.49,0.43,0.56,61.45617,17.16567
Långvindsfjärden,2024,3,2021,0.27,0.21,0.33,61.45617,17.16567
Långvindsfjärden,2024,4,2020,0.14,0.11,0.18,61.45617,17.16567
Långvindsfjärden,2024,5,2019,0.08,0.06,0.11,61.45617,17.16567
Långvindsfjärden,2024,6,2018,0,0,0,61.45617,17.16567
Långvindsfjärden,2024,plusgroup,2017,0.02,0.01,0.02,61.45617,17.16567
Forsmark,2007,1,2006,0.43,0.38,0.47,60.43383,18.16217
Forsmark,2007,2,2005,0.24,0.21,0.28,60.43383,18.16217
Forsmark,2007,3,2004,0.16,0.14,0.19,60.43383,18.16217
Forsmark,2007,4,2003,0.07,0.05,0.09,60.43383,18.16217
Forsmark,2007,plusgroup,2002,0.09,0.07,0.12,60.43383,18.16217
Forsmark,2008,1,2007,0.33,0.28,0.38,60.43383,18.16217
Forsmark,2008,2,2006,0.31,0.27,0.35,60.43383,18.16217
Forsmark,2008,3,2005,0.18,0.16,0.21,60.43383,18.16217
Forsmark,2008,4,2004,0.1,0.08,0.12,60.43383,18.16217
Forsmark,2008,plusgroup,2003,0.08,0.06,0.09,60.43383,18.16217
Forsmark,2009,1,2008,0.31,0.27,0.34,60.43383,18.16217
Forsmark,2009,2,2007,0.18,0.15,0.21,60.43383,18.16217
Forsmark,2009,3,2006,0.23,0.19,0.27,60.43383,18.16217
Forsmark,2009,4,2005,0.17,0.14,0.2,60.43383,18.16217
Forsmark,2009,plusgroup,2004,0.11,0.09,0.14,60.43383,18.16217
Forsmark,2010,1,2009,0.37,0.34,0.41,60.43383,18.16217
Forsmark,2010,2,2008,0.25,0.23,0.28,60.43383,18.16217
Forsmark,2010,3,2007,0.14,0.12,0.16,60.43383,18.16217
Forsmark,2010,4,2006,0.13,0.11,0.16,60.43383,18.16217
Forsmark,2010,plusgroup,2005,0.1,0.09,0.12,60.43383,18.16217
Forsmark,2011,1,2010,0.25,0.22,0.29,60.43383,18.16217
Forsmark,2011,2,2009,0.34,0.31,0.37,60.43383,18.16217
Forsmark,2011,3,2008,0.22,0.2,0.25,60.43383,18.16217
Forsmark,2011,4,2007,0.09,0.07,0.11,60.43383,18.16217
Forsmark,2011,plusgroup,2006,0.1,0.08,0.11,60.43383,18.16217
Forsmark,2012,1,2011,0.48,0.44,0.52,60.43383,18.16217
Forsmark,2012,2,2010,0.16,0.13,0.19,60.43383,18.16217
Forsmark,2012,3,2009,0.21,0.18,0.24,60.43383,18.16217
Forsmark,2012,4,2008,0.1,0.08,0.12,60.43383,18.16217
Forsmark,2012,plusgroup,2007,0.05,0.04,0.06,60.43383,18.16217
Forsmark,2013,1,2012,0.2,0.17,0.23,60.43383,18.16217
Forsmark,2013,2,2011,0.51,0.47,0.54,60.43383,18.16217
Forsmark,2013,3,2010,0.12,0.09,0.14,60.43383,18.16217
Forsmark,2013,4,2009,0.12,0.1,0.14,60.43383,18.16217
Forsmark,2013,plusgroup,2008,0.06,0.05,0.07,60.43383,18.16217
Forsmark,2014,1,2013,0.29,0.26,0.33,60.43383,18.16217
Forsmark,2014,2,2012,0.18,0.16,0.21,60.43383,18.16217
Forsmark,2014,3,2011,0.41,0.37,0.45,60.43383,18.16217
Forsmark,2014,4,2010,0.05,0.04,0.07,60.43383,18.16217
Forsmark,2014,plusgroup,2009,0.06,0.05,0.07,60.43383,18.16217
Forsmark,2015,1,2014,0.32,0.28,0.36,60.43383,18.16217
Forsmark,2015,2,2013,0.36,0.32,0.4,60.43383,18.16217
Forsmark,2015,3,2012,0.09,0.07,0.11,60.43383,18.16217
Forsmark,2015,4,2011,0.19,0.16,0.23,60.43383,18.16217
Forsmark,2015,plusgroup,2010,0.04,0.03,0.05,60.43383,18.16217
Forsmark,2016,1,2015,0.31,0.28,0.35,60.43383,18.16217
Forsmark,2016,2,2014,0.3,0.27,0.33,60.43383,18.16217
Forsmark,2016,3,2013,0.29,0.26,0.33,60.43383,18.16217
Forsmark,2016,4,2012,0.03,0.02,0.04,60.43383,18.16217
Forsmark,2016,plusgroup,2011,0.06,0.05,0.08,60.43383,18.16217
Forsmark,2017,1,2016,0.06,0.05,0.08,60.43383,18.16217
Forsmark,2017,2,2015,0.43,0.39,0.48,60.43383,18.16217
Forsmark,2017,3,2014,0.3,0.25,0.35,60.43383,18.16217
Forsmark,2017,4,2013,0.17,0.14,0.21,60.43383,18.16217
Forsmark,2017,plusgroup,2012,0.03,0.02,0.04,60.43383,18.16217
Forsmark,2018,1,2017,0.31,0.26,0.35,60.43383,18.16217
Forsmark,2018,2,2016,0.07,0.06,0.09,60.43383,18.16217
Forsmark,2018,3,2015,0.41,0.36,0.46,60.43383,18.16217
Forsmark,2018,4,2014,0.15,0.12,0.18,60.43383,18.16217
Forsmark,2018,plusgroup,2013,0.06,0.05,0.08,60.43383,18.16217
Forsmark,2019,1,2018,0.64,0.58,0.69,60.43383,18.16217
Forsmark,2019,2,2017,0.18,0.15,0.21,60.43383,18.16217
Forsmark,2019,3,2016,0.03,0.02,0.04,60.43383,18.16217
Forsmark,2019,4,2015,0.11,0.09,0.14,60.43383,18.16217
Forsmark,2019,plusgroup,2014,0.03,0.03,0.05,60.43383,18.16217
Forsmark,2020,1,2019,0.51,0.46,0.56,60.43383,18.16217
Forsmark,2020,2,2018,0.41,0.37,0.46,60.43383,18.16217
Forsmark,2020,3,2017,0.04,0.03,0.05,60.43383,18.16217
Forsmark,2020,4,2016,0.01,0.01,0.02,60.43383,18.16217
Forsmark,2020,plusgroup,2015,0.03,0.02,0.04,60.43383,18.16217
Forsmark,2021,1,2020,0.17,0.14,0.2,60.43383,18.16217
Forsmark,2021,2,2019,0.45,0.41,0.5,60.43383,18.16217
Forsmark,2021,3,2018,0.34,0.3,0.39,60.43383,18.16217
Forsmark,2021,4,2017,0.02,0.01,0.03,60.43383,18.16217
Forsmark,2021,plusgroup,2016,0.01,0.01,0.02,60.43383,18.16217
Forsmark,2022,1,2021,0.6,0.55,0.65,60.43383,18.16217
Forsmark,2022,2,2020,0.15,0.12,0.18,60.43383,18.16217
Forsmark,2022,3,2019,0.15,0.12,0.18,60.43383,18.16217
Forsmark,2022,4,2018,0.1,0.08,0.12,60.43383,18.16217
Forsmark,2022,plusgroup,2017,0.01,0,0.01,60.43383,18.16217
Forsmark,2023,1,2022,0.24,0.21,0.28,60.43383,18.16217
