Area,year,age_class,year_class,mean,q5,q95,Lat_degrees,Long_degrees
Råneå,2017,2,2015,0.09,0.07,0.12,65.83283,22.42617
Råneå,2017,3,2014,0.36,0.33,0.4,65.83283,22.42617
Råneå,2017,4,2013,0.15,0.13,0.17,65.83283,22.42617
Råneå,2017,5,2012,0.03,0.03,0.04,65.83283,22.42617
Råneå,2017,6,2011,0.18,0.15,0.2,65.83283,22.42617
Råneå,2017,7,2010,0.09,0.07,0.11,65.83283,22.42617
Råneå,2017,plusgroup,2009,0.09,0.08,0.11,65.83283,22.42617
Råneå,2018,2,2016,0.34,0.31,0.38,65.83283,22.42617
Råneå,2018,3,2015,0.06,0.05,0.08,65.83283,22.42617
Råneå,2018,4,2014,0.29,0.26,0.32,65.83283,22.42617
Råneå,2018,5,2013,0.12,0.11,0.14,65.83283,22.42617
Råneå,2018,6,2012,0.03,0.02,0.03,65.83283,22.42617
Råneå,2018,7,2011,0.08,0.07,0.1,65.83283,22.42617
Råneå,2018,plusgroup,2010,0.07,0.06,0.08,65.83283,22.42617
Råneå,2019,2,2017,0.13,0.11,0.16,65.83283,22.42617
Råneå,2019,3,2016,0.32,0.28,0.36,65.83283,22.42617
Råneå,2019,4,2015,0.06,0.05,0.07,65.83283,22.42617
Råneå,2019,5,2014,0.29,0.27,0.32,65.83283,22.42617
Råneå,2019,6,2013,0.11,0.1,0.13,65.83283,22.42617
Råneå,2019,7,2012,0.01,0.01,0.02,65.83283,22.42617
Råneå,2019,plusgroup,2011,0.07,0.06,0.08,65.83283,22.42617
Råneå,2020,2,2018,0.41,0.38,0.45,65.83283,22.42617
Råneå,2020,3,2017,0.09,0.07,0.1,65.83283,22.42617
Råneå,2020,4,2016,0.15,0.13,0.17,65.83283,22.42617
Råneå,2020,5,2015,0.05,0.04,0.05,65.83283,22.42617
Råneå,2020,6,2014,0.21,0.19,0.24,65.83283,22.42617
Råneå,2020,7,2013,0.06,0.05,0.07,65.83283,22.42617
Råneå,2020,plusgroup,2012,0.03,0.03,0.04,65.83283,22.42617
Råneå,2021,2,2019,0.19,0.17,0.22,65.83283,22.42617
Råneå,2021,3,2018,0.37,0.35,0.4,65.83283,22.42617
Råneå,2021,4,2017,0.07,0.06,0.08,65.83283,22.42617
Råneå,2021,5,2016,0.14,0.12,0.16,65.83283,22.42617
Råneå,2021,6,2015,0.04,0.03,0.05,65.83283,22.42617
Råneå,2021,7,2014,0.14,0.12,0.17,65.83283,22.42617
Råneå,2021,plusgroup,2013,0.04,0.03,0.05,65.83283,22.42617
Råneå,2022,2,2020,0.19,0.17,0.21,65.83283,22.42617
Råneå,2022,3,2019,0.18,0.16,0.2,65.83283,22.42617
Råneå,2022,4,2018,0.34,0.31,0.37,65.83283,22.42617
Råneå,2022,5,2017,0.06,0.05,0.07,65.83283,22.42617
Råneå,2022,6,2016,0.12,0.1,0.14,65.83283,22.42617
Råneå,2022,7,2015,0.03,0.02,0.03,65.83283,22.42617
Råneå,2022,plusgroup,2014,0.08,0.07,0.1,65.83283,22.42617
Råneå,2023,2,2021,0.24,0.22,0.27,65.83283,22.42617
Råneå,2023,3,2020,0.16,0.14,0.18,65.83283,22.42617
Råneå,2023,4,2019,0.15,0.13,0.17,65.83283,22.42617
Råneå,2023,5,2018,0.28,0.26,0.31,65.83283,22.42617
Råneå,2023,6,2017,0.05,0.04,0.06,65.83283,22.42617
Råneå,2023,7,2016,0.07,0.06,0.08,65.83283,22.42617
Råneå,2023,plusgroup,2015,0.05,0.04,0.05,65.83283,22.42617
Råneå,2024,2,2022,0.16,0.13,0.19,65.83283,22.42617
Råneå,2024,3,2021,0.24,0.21,0.27,65.83283,22.42617
Råneå,2024,4,2020,0.15,0.13,0.17,65.83283,22.42617
Råneå,2024,5,2019,0.14,0.12,0.16,65.83283,22.42617
Råneå,2024,6,2018,0.24,0.21,0.27,65.83283,22.42617
Råneå,2024,7,2017,0.02,0.01,0.03,65.83283,22.42617
Råneå,2024,plusgroup,2016,0.05,0.04,0.06,65.83283,22.42617
Kinnbäcksfjärden,2007,3,2004,0.5,0.4,0.6,65.04667,21.51833
Kinnbäcksfjärden,2007,4,2003,0.4,0.31,0.5,65.04667,21.51833
Kinnbäcksfjärden,2007,plusgroup,2002,0.1,0.06,0.15,65.04667,21.51833
Kinnbäcksfjärden,2008,3,2005,0.75,0.68,0.81,65.04667,21.51833
Kinnbäcksfjärden,2008,4,2004,0.18,0.12,0.24,65.04667,21.51833
Kinnbäcksfjärden,2008,plusgroup,2003,0.07,0.04,0.1,65.04667,21.51833
Kinnbäcksfjärden,2009,3,2006,0.13,0.09,0.19,65.04667,21.51833
Kinnbäcksfjärden,2009,4,2005,0.75,0.68,0.82,65.04667,21.51833
Kinnbäcksfjärden,2009,plusgroup,2004,0.11,0.07,0.16,65.04667,21.51833
Kinnbäcksfjärden,2010,3,2007,0.78,0.72,0.84,65.04667,21.51833
Kinnbäcksfjärden,2010,4,2006,0.06,0.03,0.08,65.04667,21.51833
Kinnbäcksfjärden,2010,plusgroup,2005,0.16,0.12,0.21,65.04667,21.51833
Kinnbäcksfjärden,2011,3,2008,0.23,0.16,0.29,65.04667,21.51833
Kinnbäcksfjärden,2011,4,2007,0.69,0.61,0.76,65.04667,21.51833
Kinnbäcksfjärden,2011,plusgroup,2006,0.08,0.05,0.12,65.04667,21.51833
Kinnbäcksfjärden,2012,3,2009,0.68,0.6,0.76,65.04667,21.51833
Kinnbäcksfjärden,2012,4,2008,0.12,0.08,0.17,65.04667,21.51833
Kinnbäcksfjärden,2012,plusgroup,2007,0.2,0.14,0.26,65.04667,21.51833
Kinnbäcksfjärden,2013,3,2010,0.72,0.64,0.79,65.04667,21.51833
Kinnbäcksfjärden,2013,4,2009,0.23,0.17,0.3,65.04667,21.51833
Kinnbäcksfjärden,2013,plusgroup,2008,0.05,0.03,0.08,65.04667,21.51833
Kinnbäcksfjärden,2014,3,2011,0.71,0.64,0.78,65.04667,21.51833
Kinnbäcksfjärden,2014,4,2010,0.24,0.18,0.31,65.04667,21.51833
Kinnbäcksfjärden,2014,plusgroup,2009,0.04,0.03,0.06,65.04667,21.51833
Kinnbäcksfjärden,2015,3,2012,0.18,0.11,0.26,65.04667,21.51833
Kinnbäcksfjärden,2015,4,2011,0.72,0.62,0.81,65.04667,21.51833
Kinnbäcksfjärden,2015,plusgroup,2010,0.1,0.05,0.16,65.04667,21.51833
Kinnbäcksfjärden,2016,3,2013,0.76,0.67,0.85,65.04667,21.51833
Kinnbäcksfjärden,2016,4,2012,0.08,0.04,0.13,65.04667,21.51833
Kinnbäcksfjärden,2016,plusgroup,2011,0.16,0.09,0.24,65.04667,21.51833
Kinnbäcksfjärden,2017,3,2014,0.77,0.68,0.85,65.04667,21.51833
Kinnbäcksfjärden,2017,4,2013,0.2,0.12,0.28,65.04667,21.51833
Kinnbäcksfjärden,2017,plusgroup,2012,0.03,0.01,0.06,65.04667,21.51833
Kinnbäcksfjärden,2018,3,2015,0.86,0.8,0.91,65.04667,21.51833
Kinnbäcksfjärden,2018,4,2014,0.11,0.07,0.17,65.04667,21.51833
Kinnbäcksfjärden,2018,plusgroup,2013,0.02,0.01,0.04,65.04667,21.51833
Kinnbäcksfjärden,2019,3,2016,0.51,0.41,0.61,65.04667,21.51833
Kinnbäcksfjärden,2019,4,2015,0.43,0.34,0.53,65.04667,21.51833
Kinnbäcksfjärden,2019,plusgroup,2014,0.05,0.03,0.08,65.04667,21.51833
Kinnbäcksfjärden,2020,3,2017,0.4,0.29,0.53,65.04667,21.51833
Kinnbäcksfjärden,2020,4,2016,0.31,0.2,0.43,65.04667,21.51833
Kinnbäcksfjärden,2020,plusgroup,2015,0.29,0.21,0.39,65.04667,21.51833
Kinnbäcksfjärden,2021,3,2018,0.95,0.92,0.97,65.04667,21.51833
Kinnbäcksfjärden,2021,4,2017,0.02,0.01,0.04,65.04667,21.51833
Kinnbäcksfjärden,2021,plusgroup,2016,0.03,0.02,0.05,65.04667,21.51833
Holmön,2002,1,2001,0.56,0.49,0.62,63.6815,20.87533
Holmön,2002,2,2000,0.25,0.2,0.3,63.6815,20.87533
Holmön,2002,3,1999,0.08,0.06,0.1,63.6815,20.87533
Holmön,2002,4,1998,0.05,0.04,0.07,63.6815,20.87533
Holmön,2002,5,1997,0.07,0.05,0.09,63.6815,20.87533
Holmön,2002,plusgroup,1996,0,0,0.01,63.6815,20.87533
Holmön,2003,1,2002,0.34,0.28,0.41,63.6815,20.87533
Holmön,2003,2,2001,0.4,0.34,0.47,63.6815,20.87533
Holmön,2003,3,2000,0.17,0.13,0.21,63.6815,20.87533
Holmön,2003,4,1999,0.04,0.03,0.06,63.6815,20.87533
Holmön,2003,5,1998,0.02,0.01,0.03,63.6815,20.87533
Holmön,2003,plusgroup,1997,0.02,0.01,0.04,63.6815,20.87533
Holmön,2004,1,2003,0.48,0.41,0.55,63.6815,20.87533
Holmön,2004,2,2002,0.17,0.13,0.22,63.6815,20.87533
Holmön,2004,3,2001,0.25,0.19,0.32,63.6815,20.87533
Holmön,2004,4,2000,0.07,0.05,0.09,63.6815,20.87533
Holmön,2004,5,1999,0.01,0.01,0.02,63.6815,20.87533
Holmön,2004,plusgroup,1998,0.02,0.01,0.03,63.6815,20.87533
Holmön,2005,1,2004,0.25,0.19,0.32,63.6815,20.87533
Holmön,2005,2,2003,0.49,0.42,0.55,63.6815,20.87533
Holmön,2005,3,2002,0.14,0.11,0.17,63.6815,20.87533
Holmön,2005,4,2001,0.1,0.08,0.14,63.6815,20.87533
Holmön,2005,5,2000,0.01,0.01,0.02,63.6815,20.87533
Holmön,2005,plusgroup,1999,0,0,0.01,63.6815,20.87533
Holmön,2006,1,2005,0.17,0.13,0.22,63.6815,20.87533
Holmön,2006,2,2004,0.19,0.14,0.25,63.6815,20.87533
Holmön,2006,3,2003,0.49,0.43,0.55,63.6815,20.87533
Holmön,2006,4,2002,0.1,0.08,0.13,63.6815,20.87533
Holmön,2006,5,2001,0.04,0.03,0.06,63.6815,20.87533
Holmön,2006,plusgroup,2000,0.01,0,0.01,63.6815,20.87533
Holmön,2007,1,2006,0.5,0.43,0.56,63.6815,20.87533
Holmön,2007,2,2005,0.09,0.07,0.12,63.6815,20.87533
Holmön,2007,3,2004,0.1,0.07,0.13,63.6815,20.87533
Holmön,2007,4,2003,0.26,0.22,0.32,63.6815,20.87533
Holmön,2007,5,2002,0.03,0.02,0.04,63.6815,20.87533
Holmön,2007,plusgroup,2001,0.02,0.01,0.02,63.6815,20.87533
Holmön,2008,1,2007,0.35,0.29,0.43,63.6815,20.87533
Holmön,2008,2,2006,0.39,0.32,0.46,63.6815,20.87533
Holmön,2008,3,2005,0.06,0.04,0.08,63.6815,20.87533
Holmön,2008,4,2004,0.07,0.05,0.08,63.6815,20.87533
Holmön,2008,5,2003,0.11,0.08,0.14,63.6815,20.87533
Holmön,2008,plusgroup,2002,0.02,0.01,0.03,63.6815,20.87533
Holmön,2009,1,2008,0.26,0.21,0.31,63.6815,20.87533
Holmön,2009,2,2007,0.44,0.38,0.5,63.6815,20.87533
Holmön,2009,3,2006,0.21,0.17,0.27,63.6815,20.87533
Holmön,2009,4,2005,0.02,0.01,0.03,63.6815,20.87533
Holmön,2009,5,2004,0.02,0.01,0.03,63.6815,20.87533
Holmön,2009,plusgroup,2003,0.05,0.03,0.07,63.6815,20.87533
Holmön,2010,1,2009,0.32,0.27,0.37,63.6815,20.87533
Holmön,2010,2,2008,0.21,0.18,0.25,63.6815,20.87533
